"VCGE-1","VCGE-2"
"Autorização de transporte aquaviário","Transportes,Transporte Hidroviário"
"Projetos de desenvolvimento sustentável","Meio ambiente"
"Flora ameçada de extinção","Biodiversidade,Meio ambiente"
"Repartição de competências","Meio ambiente"
"Fiscalização do trabalho","Trabalho"
"Oferta de água","Meio ambiente,Água"
"Mecanismo de desenvolvimento limpo (MDL)","Meio ambiente"
"Ordenamento do uso dos recurso pesqueiros","Biodiversidade,Meio ambiente"
"Projeto de lei estadual",""
"Produtos do extrativismo","Meio ambiente"
"Regulamentação comercial","Comércio e Serviços"
"Pregão","Administração,Compras governamentais"
"Declaração de localização de imóveis","Urbanismo"
"Medicina natural","Saúde"
"Violência contra o menor","Saúde"
"Hídrica","Meio ambiente"
"Água de lastro","Biodiversidade,Meio ambiente"
"Apoio técnico a pesquisa e iniciação cientifica","Educação,Educação superior"
"Consumo sustentável","Biodiversidade,Meio ambiente"
"Acesso e divulgação da produção cientifica","Educação,Educação superior"
"Formação inicial e continuada de trabalhadores","Educação,Educação profissionalizante"
"Demolição","Urbanismo"
"Biologia pesqueira","Agropecuária"
"Certificado de Produto Brasileiro (CPB)","Cultura"
"Mercado de carbono","Meio ambiente"
"Sistema de produção","Agropecuária"
"Barreiras externas","Comércio e Serviços"
"Resíduos e rejeitos","Meio ambiente"
"Mestrado profissional","Educação,Educação superior"
"Minimização dos impactos gerados por resíduos perigosos","Meio ambiente"
"Infraestrutura de transporte aquaviário","Transportes,Transporte Hidroviário"
"Polícia municipal","Segurança e Ordem Pública"
"Cera vegetal","Produção agropecuária,Agropecuária"
"Projeto pedagógico","Educação"
"Hospital de custódia",""
"Consulados e embaixadas","Comércio e Serviços,Turismo"
"Enquadramento dos corpos de água em classes de uso","Meio ambiente,Água"
"Licitações públicas sustentáveis","Meio ambiente"
"Resíduos químicos","Meio ambiente"
"Mercosul e integração regional","Relações Internacionais"
"Orçamento do estado","Administração,Planejamento"
"Previdência social","Previdência Social"
"Finanças","Economia e Finanças"
"Sistema político","Administração"
"Informações estatísticas","Comunicações"
"Assistência ao estudante","Educação"
"Melhoramento genético animal","Agropecuária"
"Zoneamento ecológico e econômico - ZEE","Meio ambiente"
"Plantas de imóveis","Urbanismo"
"Residência medica","Educação,Educação superior"
"Avaliação ambiental","Meio ambiente"
"Convenção de Viena e protocolo de Montreal","Meio ambiente"
"Águas subterrâneas","Meio ambiente,Água"
"Cálculo da compensação ambiental","Meio ambiente"
"Medicamentos fitoterápicos","Medicamentos e aparelhos,Saúde"
"Higiene veterinária","Agropecuária"
"Certificado de proficiência em língua portuguesa para estrangeiro","Educação,Educação superior"
"Conservação de patrimônio genético","Biodiversidade,Meio ambiente"
"Formas de união",""
"Obra audiovisual","Cultura"
"Ouvidoria","Proteção Social,Combate a desigualdade,Saúde"
"Programadora (audiovisual)","Cultura"
"Comunidade pesqueira","Agropecuária"
"Patrimônio genético ou recursos genéticos","Biodiversidade,Meio ambiente"
"Planos de recursos hídricos","Meio ambiente,Água"
"Conselhos de saúde","Saúde"
"Legislação educacional","Educação"
"Luz","Serviços Urbanos,Urbanismo"
"Equipamentos de pesca","Agropecuária"
"Fiscalização vegetal","Agropecuária"
"Fauna ameçada de extinção","Biodiversidade,Meio ambiente"
"Doutorado","Educação,Educação superior"
"Tecnologia da informação e comunicação","Pesquisa e Desenvolvimento"
"Igualdade de direitos do estrangeiro","Relações Internacionais"
"Conclusão de obra","Urbanismo"
"Planejamento urbano","Urbanismo"
"Audiovisual","Cultura"
"Resíduos radiotivos","Meio ambiente"
"Incentivos à produção sustentável","Biodiversidade,Meio ambiente"
"Defesa e Segurança",",Segurança e Ordem Pública,Defesa Nacional"
"Rede brasileira de fundos socioambientais","Meio ambiente"
"Regime fechado",""
"Adoção de tecnologias sustentáveis","Biodiversidade,Meio ambiente"
"Ecossistemas aquáticos e terrestres","Biodiversidade,Meio ambiente"
"Transporte escolar","Educação,Serviços Urbanos,Urbanismo"
"Pensão alimentícia e alimentos",""
"Gestão integrada de resíduos sólidos urbanos","Meio ambiente"
"Agrobiodiversidade","Biodiversidade,Meio ambiente"
"Farmácia básica","Medicamentos e aparelhos,Saúde"
"Mercado municipal","Serviços Urbanos,Urbanismo"
"Estrutura animal","Agropecuária"
"Informações geográficas","Meio ambiente"
"Processo licitatório de concessão de uso florestas públicas","Meio ambiente"
"Turismo internacional","Comércio e Serviços,Turismo"
"Fibra vegetal","Produção agropecuária,Agropecuária"
"Acordos internacionais","Relações Internacionais"
"Porte de arma","Segurança e Ordem Pública"
"Gestão da produção agrária","Agropecuária"
"Estatísticas educacionais","Educação"
"Concursos","Recursos humanos,Administração"
"Plano agrícola e pecuário","Agropecuária"
"Sanções da compensação ambiental","Meio ambiente"
"Povos indígenas","Proteção Social"
"Financiamento publico e privado","Economia e Finanças"
"Gestão dos recursos pesqueiros","Biodiversidade,Meio ambiente"
"Política externa","Relações Internacionais"
"Ampliação","Urbanismo"
"Proteção e recuperação de espécies ameçadas de extinção","Biodiversidade,Meio ambiente"
"Fragmentação","Meio ambiente"
"Mortalidade materna","Saúde"
"Equideocultura","Agropecuária"
"Reconhecimento de filho",""
"Hardware","Pesquisa e Desenvolvimento"
"Sistemas de informação científica do patrimônio genético","Biodiversidade,Meio ambiente"
"Trem metropolitano","Serviços Urbanos,Urbanismo"
"Associação",""
"Reforma agrária","Agropecuária"
"Tecnologia ambientalmente adequadas","Meio ambiente"
"Fisiologia animal","Agropecuária"
"Produção vegetal","Agropecuária"
"Encargos financeiros","Economia e Finanças"
"Recurso ao conselho municipal de urbanismo","Serviços Urbanos,Urbanismo"
"Produtos e subprodutos da flora e da fauna","Preservação e Conservação Ambiental,Meio ambiente"
"Novela","Cultura"
"Tribunais de justiça",""
"Ensino médio","Educação,Educação básica"
"Farmácia hospitalar","Medicamentos e aparelhos,Saúde"
"Detecção do desmatamento em tempo real (DETER)","Meio ambiente"
"Transportes coletivos","Serviços Urbanos,Urbanismo"
"Pesquisa florestal","Meio ambiente"
"Emergências ambientais","Meio ambiente"
"Floricultura","Agropecuária"
"Águas de chuva","Meio ambiente,Água"
"Transtornos alimentares","Saúde"
"Estradas","Comércio e Serviços,Turismo"
"Zona costeira e marinha","Biodiversidade,Meio ambiente"
"Financiamento estudantil","Educação"
"Gestão de meio ambiente","Meio ambiente"
"Governo eletrônico","Administração,Serviços Públicos"
"Multas / infrações","Transportes"
"Transferência","Educação,Educação superior"
"Licença prévia","Meio ambiente"
"Corredor central da mata atlântica (CCMA)","Meio ambiente,Preservação e Conservação Ambiental"
"Atlântico leste","Meio ambiente,Água"
"Administração de receitas","Economia e Finanças"
"Planejamento ambiental da aquicultura","Meio ambiente"
"Organização do estado","Administração"
"Remuneração dos serviços ambientais","Meio ambiente"
"Produção de sementes e mudas","Agropecuária"
"Minimização de rejeitos","Meio ambiente"
"Qualidade de agrotóxicos","Vigilância Sanitária,Saúde"
"Acesso a recursos genéticos naturais","Biodiversidade,Meio ambiente"
"Águas transfronteiriças","Meio ambiente,Água"
"Termo de anuência prévia (TAP)","Biodiversidade,Meio ambiente"
"Métodos de aprendizagem","Educação"
"Acupuntura","Saúde"
"Extrativismo vegetal","Produção agropecuária,Agropecuária"
"Licenciamentos especiais","Meio ambiente"
"Grupos e organismos políticos internacionais","Relações Internacionais"
"Servidão ambiental","Meio ambiente"
"Consulta publica","Fiscalização do Estado,Administração"
"Monitoramento","Meio ambiente"
"Óleo vegetal","Produção agropecuária,Agropecuária"
"Remuneração","Recursos humanos,Administração"
"Organizações internacionais","Relações Internacionais"
"Software","Pesquisa e Desenvolvimento"
"Política trabalhista","Trabalho"
"Produtos florestais não-madeireiros","Meio ambiente"
"Queimadas e incêndios","Biodiversidade,Meio ambiente"
"Tratamento de esgoto","Saneamento Básico Urbano,Saneamento"
"Relatório de impacto ambiental - RIMA","Meio ambiente"
"Fiscalização de transporte aquaviário","Transportes,Transporte Hidroviário"
"Legislação trabalhista","Trabalho"
"Parques Nacionais","Meio ambiente,Preservação e Conservação Ambiental"
"Museus","Comunicações"
"Vigilância sanitária","Vigilância Sanitária,Saúde"
"Reforma de imóveis","Urbanismo"
"Exposição","Comércio e Serviços"
"Isenção tarifária","Serviços Urbanos,Urbanismo"
"Abastecimento","Abastecimento,Agropecuária"
"União estável",""
"Qualidade de derivados do tabaco","Vigilância Sanitária,Saúde"
"Licença de instalação","Meio ambiente"
"Medicina legal","Segurança e Ordem Pública"
"Compras governamentais","Administração,Compras governamentais"
"Exploração de satélite","Comunicações"
"Substâncias que destroem a camada de ozônio","Meio ambiente"
"Concessão aos taxistas","Serviços Urbanos,Urbanismo"
"Aqüicultura","Biodiversidade,Meio ambiente,Agropecuária"
"Infraestrutura para conservação e preservação de biomas","Biodiversidade,Meio ambiente"
"Remessa de patrimônio genético","Biodiversidade,Meio ambiente"
"Incentivos e promoções do turismo","Comércio e Serviços,Turismo"
"Mitigação da mudança do clima","Meio ambiente"
"Paraguai","Meio ambiente,Água"
"Sistema de pagamentos brasileiro","Economia e Finanças"
"Aposentadoria por tempo de contribuição","Previdência Social"
"Áreas ambientalmente sensíveis","Meio ambiente,Preservação e Conservação Ambiental"
"Serviços consulares","Relações Internacionais"
"Exportação","Comércio e Serviços"
"Comunidades locais de florestas públicas","Meio ambiente"
"Organismos geneticamente modificados (OGM)","Biodiversidade,Meio ambiente"
"Rede de unidades de conservação particulares","Meio ambiente,Preservação e Conservação Ambiental"
"Poder executivo","Administração"
"Plano plurianual","Administração,Planejamento"
"Disponibilidade de água","Meio ambiente,Água"
"Desenvolvimento, produção e uso sustentável","Biodiversidade,Meio ambiente"
"Sistema de informação em saúde","Saúde"
"Documentos e vistos","Comércio e Serviços,Turismo"
"Separação e divorcio",""
"Equipamento agrícola","Produção agropecuária,Agropecuária"
"Defesa econômica e da concorrência","Economia e Finanças"
"Sistema eleitoral","Administração"
"Cavidades naturais subterrâneas","Biodiversidade,Meio ambiente"
"Instrumentos econômicos","Meio ambiente"
"Transporte rodoviário de cargas","Transportes,Transporte Rodoviário"
"Resíduos perigosos","Saúde,Meio ambiente"
"Capacitação social nas regiões hidrográficas","Meio ambiente"
"Formação cientifica","Educação,Educação superior"
"Poda","Agropecuária"
